,Unnamed: 0,Model,Accuracy,F1-Score,Precision,Recall
0,,ASTER_DATA_CNN_RMSPROP_MODEL,0.9591609228217572,0.9557566267857104,0.9550167493394195,0.9596030962481897
1,,ASTER_DATA_CNN_ADAM_MODEL,0.9784180975298068,0.978103456372483,0.9788086363678611,0.9783243941131277
2,,ASTER_DATA_CNN_SGD_MODEL,0.9702339682151256,0.9709031600365057,0.9732173503093392,0.9701191412898226
3,,ASTER_DATA_MLP_MODEL,0.4631918104327256,0.48155342825724684,0.6296640064913189,0.5840896707257937
4,,ASTER_DATA_MLP_MODEL,0.9353154696357926,0.9408265857838619,0.9376494256728849,0.9442588376595062
